Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Barcelos (AM);-;100;1000;...;-;-;-;-;-;-;-;260;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;180;-;240;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barreirinha (AM);-;290;-;...;-;-;-;-;8;-;-;600;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;247;-;50;11;-;-;-;154;-;1400;-;100;-;28;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Benjamin Constant (AM);-;756;608;...;-;-;-;-;45;-;-;1040;20;-;-;...;-;-;-;-;...;80;...;-;-;-;-;-;-;45;-;-;-;-;14;-;-;-;-;-;-;380;84;-;-;-;72;-;3384;-;794;-;720;-;53;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-
Beruri (AM);-;-;125;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;775;-;-;462;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boa Vista do Ramos (AM);-;162;-;...;-;-;-;-;10;-;-;1015;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;216;-;114;-;-;-;-;105;-;5173;-;243;-;110;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boca do Acre (AM);-;365;-;...;-;-;-;-;413;-;-;4200;-;-;-;...;438;28;-;28;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;14;-;-;-;-;-;3200;-;-;-;1584;-;1098;-;-;-;-;24;-;-;-;-;-;-;-;-;-;3;-
Borba (AM);-;150;-;...;-;-;-;-;-;-;-;1796;-;-;-;...;696;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;372;65;-;-;-;-;-;12915;-;-;-;1400;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caapiranga (AM);-;98;799;...;-;-;-;-;-;-;-;501;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;16;-;-;114;-;-;-;10;-;-;504;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canutama (AM);-;468;-;...;-;-;-;-;-;-;-;462;750;-;13;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;2160;-;-;-;2128;30;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Carauari (AM);-;250;2856;...;-;-;-;-;-;-;-;486;-;-;-;...;-;-;-;-;...;106;...;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;158;-;-;-;-;53;-;11491;-;72;-;160;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Careiro (AM);-;135;840;...;-;-;-;-;-;-;-;4176;312;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;228;-;-;-;-;-;-;-;-;300;-;-;528;48;-;-;-;683;-;7320;-;1728;-;4500;-;40;-;-;-;-;-;-;-;-;-;-;384;-;-;-;-;-
Careiro da Várzea (AM);-;8330;-;...;-;-;-;-;-;-;-;2070;1080;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;270;-;-;-;45;-;-;1030;175;-;-;-;880;-;941;-;1800;-;960;-;-;-;-;-;-;-;-;-;-;-;16;96;-;-;-;-;-
Coari (AM);15;760;550;...;-;-;-;-;-;-;-;1800;-;-;-;...;614;-;-;-;...;57;...;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;48;600;-;48;21;-;-;1400;216;-;10450;-;204;-;960;-;132;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-
Codajás (AM);-;600;104000;...;-;-;-;-;-;-;-;1425;-;-;-;...;45;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;54;-;-;1040;204;-;5200;-;289;-;315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Eirunepé (AM);2600;1259;-;...;-;-;-;-;-;-;-;2203;1080;-;-;...;-;-;-;-;...;1313;...;-;-;-;-;-;-;53;-;-;-;-;126;-;-;-;-;-;-;324;34;-;-;-;174;-;10080;-;104;-;2338;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Envira (AM);108;-;-;...;-;-;-;-;1328;-;-;9900;960;-;-;...;-;110;110;-;...;-;...;-;-;-;-;-;-;92;-;-;-;-;290;-;-;-;-;-;-;213;60;-;-;-;150;-;3168;-;180;-;1350;-;1440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fonte Boa (AM);-;155;264;...;-;-;-;-;-;-;-;576;-;-;-;...;79;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119;-;1876;-;-;-;1197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guajará (AM);75;110;-;...;-;-;-;-;156;-;-;72;50;-;-;...;-;18;18;-;...;112;...;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;12;-;-;-;-;-;-;14040;-;180;-;1313;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Humaitá (AM);-;1013;7700;...;-;-;-;-;48;-;-;4200;-;-;-;...;53;76;76;-;...;380;...;-;-;-;-;-;-;23;-;-;-;-;94;-;-;-;-;-;-;75;112;-;-;-;220;-;48000;-;105;-;2750;-;358;-;-;-;-;-;-;-;13000;-;-;-;-;-;-;-;-
Ipixuna (AM);-;150;-;...;-;-;-;-;338;-;-;138;-;-;-;...;-;-;-;-;...;324;...;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;260;-;880;-;-;-;-;-;461;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iranduba (AM);10;286;-;...;-;-;-;-;-;-;-;1008;1949;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;112;-;-;2266;818;-;-;-;1134;-;1001;-;1386;-;3085;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;-;-;-
Itacoatiara (AM);342;59400;-;...;-;-;-;-;-;-;-;3570;864;-;51;...;-;22;-;22;...;-;...;-;-;-;-;-;-;442;-;-;-;-;319;-;-;-;843;467;-;2759;302;-;-;-;2205;-;15232;-;6660;-;2400;-;104;-;-;-;-;60;-;-;-;-;68;34;-;-;-;-;-
Itamarati (AM);14;170;144;...;-;-;-;-;-;-;-;120;288;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;40;144;-;-;-;160;-;4800;-;-;-;486;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itapiranga (AM);-;158;-;...;-;-;-;-;-;-;-;173;-;-;-;...;19;-;-;-;...;-;...;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;200;5;-;-;-;186;-;9000;-;672;-;320;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Japurá (AM);-;115;177;...;-;-;-;-;-;-;-;886;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;24;20;-;-;-;-;-;3498;-;-;-;390;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Juruá (AM);-;34;-;...;-;-;-;-;-;-;-;147;22;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;968;-;-;-;239;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jutaí (AM);-;162;112;...;-;-;-;-;122;-;-;1121;-;-;-;...;89;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;89;-;10200;-;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lábrea (AM);-;735;513;...;-;-;-;-;17;-;-;3900;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;644;-;-;-;-;-;-;-;-;-;-;-;-;-;16000;-;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Manacapuru (AM);-;399;403;...;-;-;-;-;-;-;-;3876;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540;54;-;12514;428;-;-;-;5132;-;10627;-;22707;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Manaquiri (AM);-;286;-;...;-;-;-;-;-;-;-;2970;3960;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;73;3618;243;-;-;374;364;-;4320;-;1260;-;2100;-;96;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-
Manaus (AM);-;903;536;...;-;-;-;-;-;-;-;302;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;998;279;-;-;-;527;-;1521;-;449;-;1628;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-
Manicoré (AM);-;-;-;...;-;-;-;-;-;-;-;31500;-;-;5;...;302;11;-;11;...;-;...;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;750;13;-;-;-;33;-;80300;-;121;-;6060;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-
Maraã (AM);5;-;-;...;-;-;-;-;-;-;-;788;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;15;-;-;-;-;-;504;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Maués (AM);-;163;-;...;-;-;-;-;-;-;-;1638;-;-;-;...;-;-;-;-;...;315;...;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;6279;-;150;40;-;-;-;150;-;17480;-;118;-;160;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nhamundá (AM);-;63;-;...;-;-;-;-;-;-;-;260;-;-;-;...;-;-;-;-;...;90;...;-;-;-;-;-;-;3;-;-;-;-;2;-;-;-;-;-;-;71;-;-;-;8;115;-;7700;-;85;-;162;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nova Olinda do Norte (AM);-;400;8;...;-;-;-;-;-;-;-;1620;-;-;-;...;67;36;-;36;...;-;...;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;41;140;-;131;42;-;-;-;575;-;10800;-;468;-;1300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Airão (AM);-;50;-;...;-;-;-;-;-;-;-;585;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;585;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Aripuanã (AM);-;100;792;...;-;-;-;-;-;-;-;11550;-;-;-;...;288;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;54;126;-;213;12;-;-;-;45;-;12000;-;665;-;3600;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Parintins (AM);-;318;-;...;-;-;-;-;-;-;-;2736;-;-;-;...;-;-;-;-;...;100;...;-;-;-;-;-;-;7;-;-;-;-;5;-;-;-;10;400;-;65;15;-;-;101;134;-;16189;-;463;-;467;-;15;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-
Pauini (AM);-;90;-;...;-;-;-;-;56;-;-;2814;74;-;-;...;8;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;10;43;-;-;-;-;-;8000;-;104;-;1300;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Figueiredo (AM);-;90;3240;...;-;-;-;-;-;-;-;1546;-;-;-;...;-;-;-;-;...;79750;...;-;-;-;-;-;-;1440;-;-;-;-;2;-;-;-;25;1440;-;3300;400;-;-;-;250;-;2592;-;300;-;2864;-;180;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;-
Rio Preto da Eva (AM);28;520;1728;...;-;-;-;-;-;-;-;6300;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;11220;42;-;-;-;1778;-;2280;-;773;-;347;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-
Santa Isabel do Rio Negro (AM);-;375;525;...;-;-;-;-;-;-;-;683;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;-;-;-;-;-;-;1620;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio do Içá (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Gabriel da Cachoeira (AM);-;315;1056;...;-;-;-;-;6;-;-;1190;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;112;30;-;-;-;74;-;9432;-;30;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Paulo de Olivença (AM);-;350;-;...;-;-;-;-;-;-;-;2562;-;-;-;...;-;-;-;-;...;126;...;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;42;77;-;-;-;920;-;771;-;-;-;750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Sebastião do Uatumã (AM);-;-;323;...;-;-;-;-;-;-;-;816;-;-;-;...;-;15;15;-;...;-;...;-;-;-;-;-;-;30;-;-;-;-;95;-;-;-;-;330;-;-;-;-;-;-;-;-;5544;-;426;-;416;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Silves (AM);76;-;-;...;-;-;-;-;-;-;-;1334;-;-;-;...;-;23;-;23;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;581;20;-;-;-;-;-;8777;-;-;-;1663;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tabatinga (AM);380;1080;154;...;-;-;-;-;-;-;-;504;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;135;-;-;-;-;-;1710;-;59;-;101;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tapauá (AM);-;219;3360;...;-;-;-;-;-;-;-;1860;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;39;-;-;-;-;62;-;-;-;-;-;-;-;7;-;-;-;38;-;31600;-;21;-;1971;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tefé (AM);-;1962;1037;...;-;-;-;-;-;-;-;748;-;-;-;...;40;-;-;-;...;-;...;-;-;-;-;-;-;200;-;-;-;-;93;-;-;-;-;-;-;900;-;-;-;-;-;-;112033;-;-;-;2518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tonantins (AM);-;119;-;...;-;-;-;-;-;-;-;67;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;480;-;1355;-;58;-;182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Uarini (AM);-;241;351;...;-;-;-;-;-;-;-;194;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;19;19;-;-;-;-;-;65255;-;-;-;237;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Urucará (AM);-;108;192;...;-;-;-;-;-;-;-;2652;-;-;-;...;61;-;-;-;...;-;...;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;2112;-;300;-;-;-;-;-;-;5796;-;527;-;1118;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Urucurituba (AM);54;-;-;...;-;-;-;-;-;-;-;1617;30;-;-;...;273;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;50;14;-;97;22;-;-;19;158;-;2520;-;528;-;408;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amajari (RR);-;270;720;...;-;-;-;-;12160;-;-;7000;168;-;-;...;-;-;-;-;...;128;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;65;-;-;-;42;-;1710;-;-;-;1250;-;1955;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Alegre (RR);-;360;-;...;-;-;-;-;3780;-;-;2520;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1890;-;-;-;-;-;-;675;1080;-;-;-;232;-;6480;-;-;-;2250;-;20400;-;-;-;-;-;-;-;256000;-;-;448;-;-;-;-;-
Boa Vista (RR);-;-;-;...;-;-;-;-;2400;-;-;6090;724;-;-;...;-;-;-;-;...;340;...;-;-;-;-;-;-;-;-;-;-;-;864;-;-;-;-;-;-;1092;840;-;-;-;1515;-;2625;-;648;-;6720;-;22200;-;-;-;-;-;-;-;61200;-;357;355;-;-;-;-;-
Bonfim (RR);-;-;-;...;-;-;-;-;83160;-;-;3520;6431;-;-;...;-;-;-;-;...;765;...;-;-;6300;-;-;-;-;-;-;-;-;2668;-;-;-;-;-;-;293;259;-;-;-;-;-;6480;-;8170;-;19500;1328;134212;-;-;-;-;-;-;-;198000;-;-;3744;-;-;-;-;-
Cantá (RR);-;6750;-;...;-;-;-;-;6804;-;-;1593;-;-;-;...;-;-;-;-;...;279;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1050;544;-;-;-;310;-;4446;-;1044;-;2000;-;6660;-;-;-;-;-;-;-;6300;-;-;1280;-;-;-;-;-
Caracaraí (RR);-;96;-;...;-;-;-;-;-;-;-;3108;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;2975;3420;-;-;-;-;-;5000;-;35;-;420;-;8160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caroebe (RR);-;-;2527;...;-;-;-;-;-;-;-;23234;-;-;-;...;2200;-;-;-;...;80;...;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;2205;225;-;-;-;180;-;1100;-;100;-;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iracema (RR);-;56;400;...;-;-;-;-;-;-;-;7522;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224;736;-;-;-;-;-;1134;-;36;-;150;-;5786;-;-;-;-;-;-;-;22542;-;-;-;-;-;-;-;-
Mucajaí (RR);-;-;456;...;-;-;-;-;48;-;-;4942;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;560;66;-;-;-;626;-;2990;-;68;-;468;-;2109;-;-;-;-;-;-;-;4200;-;-;1242;-;-;-;-;-
Normandia (RR);-;-;-;...;-;-;-;-;32400;-;-;2340;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;32;39;-;-;-;-;-;3600;-;314;-;3000;-;714;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pacaraima (RR);-;180;84;...;-;-;-;-;-;-;-;2813;88;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;34;-;-;-;52;-;4725;-;75;-;800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rorainópolis (RR);-;300;1728;...;-;-;-;-;-;-;-;10719;151;-;-;...;-;-;-;-;...;183;...;-;-;-;-;-;-;120;1716;-;-;-;-;-;-;-;-;-;-;22344;2380;-;-;-;176;-;2376;-;644;-;490;-;559;-;-;-;-;-;-;-;-;-;562;-;-;-;-;-;-
São João da Baliza (RR);-;100;1037;...;-;-;-;-;-;-;-;16842;-;-;-;...;-;-;-;-;...;110;...;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;40;-;-;246;-;-;-;-;32;-;360;95;-;-;260;-;777;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Luiz (RR);-;-;630;...;-;-;-;-;-;-;-;5175;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;1050;207;-;-;-;-;-;1008;225;-;-;563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Uiramutã (RR);-;108;-;...;-;-;-;-;-;-;-;454;851;-;-;...;-;-;-;-;...;70;...;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;73;-;-;-;-;25;-;2430;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-
Abaetetuba (PA);-;540;672000;...;-;-;-;-;36;-;-;1320;-;-;-;...;270;-;-;-;...;1290;...;-;-;-;-;-;-;4660;7000;-;-;-;185;-;-;-;-;-;-;189;366;-;-;-;-;-;42840;-;720;-;273;-;41;-;-;-;-;319;-;-;-;-;-;-;-;-;-;23;-
Abel Figueiredo (PA);-;-;435;...;-;-;-;-;47;-;-;559;80;-;-;...;-;-;-;-;...;84;...;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;904;-;101;-;184;-;832;-;-;-;-;392;-;-;47594;-;-;-;-;-;-;-;-
Acará (PA);-;-;81903;...;-;-;-;-;50;-;-;2086;-;-;-;...;8664;-;-;-;...;-;...;-;-;-;-;-;-;26250;70433;-;-;-;84;-;-;-;-;-;-;576;626;-;-;-;-;-;319272;-;352;-;-;-;198;-;-;-;-;21514;-;-;-;-;-;-;-;-;-;-;-
Afuá (PA);-;-;-;...;-;-;-;-;-;-;-;610;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;587;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Água Azul do Norte (PA);-;4500;420;...;-;-;-;-;22;-;-;1200;-;-;-;...;1296;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;1560;-;-;-;516;-;18785;-;-;-;-;-;-;-;3038;-;-;-;-;-;-;-;-
Alenquer (PA);-;918;11322;...;-;-;-;-;223;-;-;11809;-;-;-;...;1547;-;-;-;...;158;...;-;-;-;-;-;-;123;-;-;-;-;441;-;-;-;-;-;-;3439;3753;-;-;-;656;-;77000;-;312;-;2160;-;4800;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-
Almeirim (PA);-;3024;2496;...;-;-;-;-;-;-;-;924;-;-;-;...;322;70;-;70;...;83;...;-;43;-;-;-;-;173;-;-;-;-;93;-;-;-;-;-;-;149;-;-;-;-;330;-;2592;-;475;-;260;-;137;-;-;-;-;560;-;-;-;-;-;-;-;-;-;-;-
Altamira (PA);-;243;964;...;-;-;-;8;15876;-;-;17040;-;-;-;...;75666;2;-;2;...;600;...;-;-;-;-;-;-;180;-;-;-;-;1600;-;-;-;225;13;-;225;87;-;-;-;289;-;12408;-;523;-;893;-;84000;-;-;-;-;135;-;-;126000;-;-;375;-;-;-;70;-
Anajás (PA);-;523;138109;...;-;-;-;-;-;-;-;3446;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ananindeua (PA);-;-;249;...;-;-;-;-;-;-;-;119;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anapu (PA);-;506;3936;...;-;-;-;-;275;-;-;20424;-;-;-;...;165066;-;-;-;...;-;...;-;-;-;-;-;-;570;-;-;-;-;569;-;-;-;-;-;-;440;116;-;-;-;-;-;5540;-;210;-;858;-;2311;-;92;-;-;924;-;-;-;-;126;281;-;-;-;75;-
Augusto Corrêa (PA);-;99;1894;...;-;-;-;-;50;-;-;94;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;509;-;-;-;-;2040;-;-;-;-;-;-;16;35;-;-;18;-;-;10662;-;103;-;103;-;200;-;-;-;-;4400;-;-;-;-;16;-;-;-;-;-;-
Aurora do Pará (PA);-;63;35688;...;-;-;-;-;120;-;-;103;-;-;-;...;111;-;-;-;...;-;...;-;48;-;-;-;-;-;13096;-;-;-;536;-;-;-;-;-;-;88;118;-;-;-;-;-;14797;-;756;-;330;-;3863;-;-;-;-;16851;-;-;-;-;-;-;-;-;-;-;-
Aveiro (PA);-;345;595;...;-;-;-;38;43;-;-;5292;-;-;-;...;1110;13;-;13;...;64;...;-;-;-;-;-;-;78;-;-;-;-;243;-;-;-;-;60;-;138;29;-;-;-;-;-;6060;-;292;-;710;-;333;-;-;-;-;11;-;-;-;-;-;-;-;-;-;132;-
Bagre (PA);-;450;118949;...;-;-;-;-;-;-;-;545;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12632;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baião (PA);-;-;11040;...;-;-;-;-;52;-;-;-;-;-;-;...;2240;20;-;20;...;-;...;-;-;-;-;-;-;480;383;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70606;-;-;-;-;-;160;-;-;-;-;36972;-;-;-;-;-;-;-;-;-;-;-
